course_id,prereq_id
CHEM480,MATH119
CHEM481,CHEM102
CHEM481,102H
CHEM481,PHYS118
CHEM482,CHEM481
CHEM482L,CHEM482
CHEM484,CHEM482
CHEM485,CHEM481
CHEM485,CHEM482
CHEM486,CHEM481
CHEM486,CHEM482
CHEM487,CHEM486
CHEM488,CHEM486
CHEM489,CHEM484
CHEM530L,BIOL202
CHEM530L,CHEM430
CHEM550L,CHEM241L
CHEM550L,245L
CHEM550L,251
CHEM550L,262L
CHEM551L,CHEM262L
CHEM551L,CHEM251
CHEM692H,CHEM395
CHEM730,CHEM430
CHEM765,CHEM466
CHEM993,CHEM921
CHEM993,CHEM931
CHEM993,CHEM941
CHEM993,CHEM951
CHEM993,CHEM961
CHEM993,CHEM981
CHEM994,CHEM921
CHEM994,CHEM931
CHEM994,CHEM941
CHEM994,CHEM951
CHEM994,CHEM961
CHEM994,CHEM981
CHER102,CHER101
CHER203,CHER102
CHER204,CHER203
CHER305,CHER204
CHWA402,CHWA401
CHWA403,CHWA402
CHIN102,CHIN101
CHIN203,CHIN102
CHIN204,CHIN203
CHIN212,CHIN111
CHIN253,CHIN102
CHIN253,CHIN111
CHIN305,CHIN204
CHIN306,CHIN305
CHIN308,CHIN212
CHIN308,CHIN305
CHIN313,CHIN212
CHIN407,CHIN306
CHIN408,CHIN407
CHIN521,CHIN408
CHIN521,CHIN313
CHIN525,CHIN408
CHIN525,CHIN313
CHIN590,CHIN408
CHIN590,CHIN313
CHIN624,CHIN313
CHIN624,CHIN408
CHIN631,CHIN313
CHIN631,CHIN408
PLAN491,GEOG370
PLAN591,GEOG370
PLAN591,GEOG491
PLAN671,PLAN720
PLAN671,ECON400
PLAN671,BIOS600
PLAN671,ENEC562
PLAN671,STOR155
PLAN671,PLCY460
PLAN738,PLAN636
PLAN785,PLAN710
PLAN789,PLCY888
CLAR464,CLAR244
CLAR465,CLAR247
CLAR474,CLAR247
CLAR476,CLAR247
CLAR480,CLAR242
CLAR480,CLAR247
CLAR491,CLAR243
CLAR491,CLAR244
CLAS511,GREK204
CLAS511,LATN204
CLSC540L,CLSC440
CLSC542L,CLSC440
CLSC550L,CLSC450
